episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.725,500,245,0,nan,nan,nan,nan
2,-3.705,500,241,0,nan,nan,nan,nan
3,-3.74,500,248,0,nan,nan,nan,nan
4,-3.555,500,211,0,nan,nan,nan,nan
5,-3.445,500,189,0,nan,0.044352,0.00098,nan
6,-3.405,500,181,0,nan,nan,nan,nan
7,-3.315,500,163,0,nan,nan,nan,nan
8,-3.49,500,198,0,nan,nan,nan,nan
9,-3.525,500,205,0,nan,0.027075,0.01117,nan
10,-3.5,500,200,0,nan,nan,nan,nan
11,-3.605,500,221,0,nan,nan,nan,nan
12,-3.48,500,196,0,nan,nan,nan,nan
13,-3.435,500,187,0,nan,0.028462,0.00256,nan
14,-3.345,500,169,0,nan,nan,nan,nan
15,-3.355,500,171,0,nan,nan,nan,nan
16,-3.365,500,173,0,nan,nan,nan,nan
17,-3.555,500,211,0,nan,0.026352,-0.000973,nan
18,-3.595,500,219,0,nan,nan,nan,nan
19,-3.645,500,229,0,nan,nan,nan,nan
20,-3.515,500,203,0,nan,nan,nan,nan
21,-3.52,500,204,0,nan,0.029863,-0.001161,nan
22,-3.395,500,179,0,nan,nan,nan,nan
23,-3.41,500,182,0,nan,nan,nan,nan
24,-3.45,500,190,0,nan,nan,nan,nan
25,-3.485,500,197,0,nan,0.028255,0.005408,nan
26,-3.545,500,209,0,nan,nan,nan,nan
27,-3.565,500,213,0,nan,nan,nan,nan
28,-3.495,500,199,0,nan,nan,nan,nan
29,-3.53,500,206,0,nan,0.028156,0.003646,nan
30,-3.505,500,201,0,nan,nan,nan,nan
31,-3.615,500,223,0,nan,nan,nan,nan
32,-3.56,500,212,0,nan,nan,nan,nan
33,-3.585,500,217,0,nan,0.028572,0.000531,nan
34,-3.5,500,200,0,nan,nan,nan,nan
35,-3.55,500,210,0,nan,nan,nan,nan
36,-3.56,500,212,0,nan,nan,nan,nan
37,-3.56,500,212,0,nan,0.031018,-0.001898,nan
38,-3.315,500,163,0,nan,nan,nan,nan
39,-3.405,500,181,0,nan,nan,nan,nan
40,-3.29,500,158,0,nan,nan,nan,nan
41,-3.385,500,177,0,nan,0.026845,0.002845,nan
42,-3.23,500,146,0,nan,nan,nan,nan
43,-3.29,500,158,0,nan,nan,nan,nan
44,-3.31,500,162,0,nan,nan,nan,nan
45,-3.405,500,181,0,nan,nan,nan,nan
46,-3.345,500,169,0,nan,0.028025,0.003128,nan
47,-3.3,500,160,0,nan,nan,nan,nan
48,-3.345,500,169,0,nan,nan,nan,nan
49,-3.285,500,157,0,nan,nan,nan,nan
50,-3.195,500,139,0,nan,0.026823,-0.000616,nan
51,-3.26,500,152,0,nan,nan,nan,nan
52,-3.13,500,126,0,nan,nan,nan,nan
53,-3.255,500,151,0,nan,nan,nan,nan
54,-3.165,500,133,0,nan,0.024531,-0.000431,nan
55,-3.185,500,137,0,nan,nan,nan,nan
56,-3.13,500,126,0,nan,nan,nan,nan
57,-3.07,500,114,0,nan,nan,nan,nan
58,-3.125,500,125,0,nan,0.023457,-0.000971,nan
59,-3.08,500,116,0,nan,nan,nan,nan
60,-3.1,500,120,0,nan,nan,nan,nan
61,-3.13,500,126,0,nan,nan,nan,nan
62,-3.0,500,100,0,nan,0.022636,-0.000624,nan
63,-2.965,500,93,0,nan,nan,nan,nan
64,-3.03,500,106,0,nan,nan,nan,nan
65,-3.02,500,104,0,nan,nan,nan,nan
66,-3.02,500,104,0,nan,0.0202,-0.000205,nan
67,-3.02,500,104,0,nan,nan,nan,nan
68,-2.95,500,90,0,nan,nan,nan,nan
69,-2.98,500,96,0,nan,nan,nan,nan
70,-3.05,500,110,0,nan,0.021636,-0.002141,nan
71,-2.935,500,87,0,nan,nan,nan,nan
72,-2.985,500,97,0,nan,nan,nan,nan
